Date,AEX,GSPC,HSI,N225,EURHKD,EURJPY,EURUSD,3M Libor
2015-12-09,440.8500061035156,2047.6199951171875,21803.759765625,19301.0703125,8.441080093383789,133.87899780273438,1.0893957614898682,-0.11429
2015-12-10,437.8399963378906,2052.22998046875,21704.609375,19046.55078125,8.536399841308594,134.02999877929688,1.1017948389053345,-0.12143
2015-12-11,429.1000061035156,2012.3699951171875,21464.05078125,19230.48046875,8.483240127563477,133.23800659179688,1.0948106050491333,-0.12214
2015-12-14,420.6600036621094,2021.93994140625,21309.849609375,18883.419921875,8.51099967956543,132.75999450683594,1.0983941555023193,-0.12357
2015-12-15,433.6300048828125,2043.4100341796875,21274.369140625,18565.900390625,8.518670082092285,133.10000610351562,1.0992997884750366,-0.12286
2015-12-16,433.8299865722656,2073.070068359375,21701.2109375,19049.91015625,8.474559783935547,133.05099487304688,1.0936251878738403,-0.12286
2015-12-17,438.9700012207031,2041.8900146484375,21872.060546875,19353.560546875,8.427120208740234,133.16000366210938,1.087453007698059,-0.12357
2015-12-18,434.1499938964844,2005.550048828125,21755.560546875,18986.80078125,8.40509033203125,132.76499938964844,1.0844104290008545,-0.12429
2015-12-21,428.4800109863281,2021.1500244140625,21791.6796875,18916.01953125,8.425999641418457,131.84500122070312,1.0869920253753662,-0.12643
2015-12-22,430.9700012207031,2038.969970703125,21830.01953125,18886.69921875,8.45751953125,132.24000549316406,1.09129798412323,-0.12643
2015-12-23,443.7200012207031,2064.2900390625,22040.58984375,,8.484000205993652,132.5,1.0950024127960205,-0.12714
2015-12-24,444.1199951171875,2060.989990234375,22138.130859375,18789.689453125,8.453949928283691,131.9199981689453,1.0909169912338257,-0.12714
2015-12-25,,,,18769.060546875,8.499719619750977,131.90699768066406,1.0969964265823364,
2015-12-28,440.489990234375,2056.5,21919.619140625,18873.349609375,8.498299598693848,131.8249969482422,1.0965994596481323,
2015-12-29,447.70001220703125,2078.360107421875,21999.619140625,18982.23046875,8.505410194396973,132.10699462890625,1.0975261926651,-0.12714
2015-12-30,446.19000244140625,2063.360107421875,21882.150390625,19033.7109375,8.46500015258789,131.7030029296875,1.0928006172180176,-0.12786
2015-12-31,,2043.93994140625,21914.400390625,,8.47189998626709,131.6999969482422,1.093398094177246,-0.12786
2016-01-04,431.70001220703125,2012.6600341796875,21327.119140625,18450.98046875,8.410699844360352,130.5760040283203,1.0853991508483887,-0.12857
2016-01-05,435.0,2016.7099609375,21188.720703125,18374.0,8.390060424804688,129.3000030517578,1.0827549695968628,-0.12857
2016-01-06,428.760009765625,1990.260009765625,20980.810546875,18191.3203125,8.332500457763672,128.03199768066406,1.0751993656158447,-0.13143
2016-01-07,420.760009765625,1943.0899658203125,20333.33984375,17767.33984375,8.353300094604492,127.80400085449219,1.0778998136520386,-0.13857
2016-01-08,410.82000732421875,1922.030029296875,20453.7109375,17697.9609375,8.471369743347168,128.41799926757812,1.0925976037979126,-0.13857
2016-01-11,411.30999755859375,1923.6700439453125,19888.5,,8.489689826965332,128.06900024414062,1.0941038131713867,-0.14071
2016-01-12,416.4100036621094,1938.6800537109375,19711.759765625,17218.9609375,8.427410125732422,127.7300033569336,1.0857999324798584,-0.14071
2016-01-13,418.04998779296875,1890.280029296875,19934.880859375,17715.630859375,8.415200233459473,127.7699966430664,1.0843987464904785,-0.14071
2016-01-14,413.3800048828125,1921.8399658203125,19817.41015625,17240.94921875,8.446399688720703,127.80999755859375,1.0886012315750122,-0.14643
2016-01-15,403.57000732421875,1880.3299560546875,19520.76953125,17147.109375,8.445899963378906,128.32899475097656,1.085894227027893,-0.14714
2016-01-18,401.989990234375,,19237.44921875,16955.5703125,8.507769584655762,127.75,1.0920010805130005,-0.14857
2016-01-19,407.67999267578125,1881.3299560546875,19635.810546875,17048.369140625,8.497300148010254,127.86000061035156,1.0895025730133057,-0.15143
2016-01-20,395.7200012207031,1859.3299560546875,18886.30078125,16416.189453125,8.53339958190918,128.26199340820312,1.09129798412323,-0.15571
2016-01-21,406.489990234375,1868.989990234375,18542.150390625,16017.259765625,8.501099586486816,127.38800048828125,1.0877013206481934,-0.15643
2016-01-22,419.2799987792969,1906.9000244140625,19080.509765625,16958.529296875,8.481840133666992,128.0399932861328,1.0862009525299072,-0.16286
2016-01-25,418.07000732421875,1877.0799560546875,19340.140625,17110.91015625,8.418600082397461,128.02000427246094,1.079901933670044,-0.16571
2016-01-26,421.9700012207031,1903.6300048828125,18860.80078125,16708.900390625,8.457449913024902,128.2949981689453,1.0853049755096436,-0.16929
2016-01-27,424.4100036621094,1882.949951171875,19052.44921875,17163.919921875,8.462900161743164,128.58999633789062,1.0864958763122559,-0.17071
2016-01-28,420.1000061035156,1893.3599853515625,19195.830078125,17041.44921875,8.4975004196167,129.15199279785156,1.090798020362854,-0.17429
2016-01-29,431.2799987792969,1940.239990234375,19683.109375,17518.30078125,8.522299766540527,130.0399932861328,1.0936970710754395,-0.18071
2016-02-01,429.67999267578125,1939.3800048828125,19595.5,17865.23046875,8.424699783325195,131.3699951171875,1.0825908184051514,-0.18143
2016-02-02,420.6499938964844,1903.030029296875,19446.83984375,17750.6796875,8.475199699401855,131.6699981689453,1.0897282361984253,-0.18071
2016-02-03,416.2099914550781,1912.530029296875,18991.58984375,17191.25,8.509499549865723,130.88099670410156,1.0922038555145264,-0.18357
2016-02-04,417.94000244140625,1915.449951171875,19183.08984375,17044.990234375,8.642939567565918,131.02000427246094,1.1091023683547974,-0.18529
2016-02-05,413.94000244140625,1880.050048828125,19288.169921875,16819.58984375,8.72150993347168,130.8699951171875,1.119996428489685,-0.18814
2016-02-08,400.6099853515625,1853.43994140625,,17004.30078125,8.679200172424316,130.32200622558594,1.114504098892212,-0.19057
2016-02-09,392.5799865722656,1852.2099609375,,16085.4404296875,8.715900421142578,129.41000366210938,1.1189812421798706,-0.19343
2016-02-10,394.6300048828125,1851.8599853515625,,15713.3896484375,8.795299530029297,130.03700256347656,1.1289994716644287,-0.19414
2016-02-11,382.6099853515625,1829.0799560546875,18545.80078125,,8.788310050964355,127.73999786376953,1.128095269203186,-0.19643
2016-02-12,391.8599853515625,1864.780029296875,18319.580078125,14952.6103515625,8.815799713134766,127.30500030517578,1.1317979097366333,-0.202
2016-02-15,403.9599914550781,,18918.140625,16022.580078125,8.740920066833496,127.56700134277344,1.1225990056991577,-0.20129
2016-02-16,403.2699890136719,1895.5799560546875,19122.080078125,16054.4296875,8.699600219726562,127.75,1.1174057722091675,-0.20657
2016-02-17,414.75,1926.8199462890625,18924.5703125,15836.3603515625,8.678299903869629,127.13500213623047,1.1147029399871826,-0.208
2016-02-18,413.7900085449219,1917.8299560546875,19363.080078125,16196.7998046875,8.65835952758789,127.07599639892578,1.112297534942627,-0.21229
2016-02-19,411.9599914550781,1917.780029296875,19285.5,15967.169921875,8.640800476074219,125.78500366210938,1.1110987663269043,-0.21343
2016-02-22,420.69000244140625,1945.5,19464.08984375,16111.0498046875,8.643799781799316,125.10399627685547,1.1123965978622437,-0.21571
2016-02-23,415.42999267578125,1921.27001953125,19414.779296875,16052.0498046875,8.566749572753906,124.5459976196289,1.102803349494934,-0.21571
2016-02-24,407.5199890136719,1929.800048828125,19192.44921875,15915.7900390625,8.560400009155273,123.33499908447266,1.1027060747146606,-0.21586
2016-02-25,415.3800048828125,1951.699951171875,18888.75,16140.33984375,8.556099891662598,123.43499755859375,1.1013944149017334,-0.21729
2016-02-26,422.6600036621094,1948.050048828125,19364.150390625,16188.41015625,8.565019607543945,124.66899871826172,1.1024993658065796,-0.22043
2016-02-29,427.2699890136719,1932.22998046875,19111.9296875,16026.759765625,8.4931001663208,124.16000366210938,1.0923947095870972,-0.22286
2016-03-01,436.80999755859375,1978.3499755859375,19407.4609375,16085.509765625,8.460700035095215,122.38999938964844,1.0888975858688354,-0.22286
2016-03-02,436.30999755859375,1986.449951171875,20003.490234375,16746.55078125,8.450920104980469,123.93000030517578,1.0875948667526245,-0.227
2016-03-03,433.95001220703125,1993.4000244140625,19941.759765625,16960.16015625,8.447620391845703,123.31999969482422,1.086897373199463,-0.22914
2016-03-04,437.989990234375,1999.989990234375,20176.69921875,17014.779296875,8.504500389099121,124.43000030517578,1.094894528388977,-0.23014
2016-03-07,436.0,2001.760009765625,20159.720703125,16911.3203125,8.53281021118164,125.11000061035156,1.0993964672088623,-0.23514
2016-03-08,432.8900146484375,1979.260009765625,20011.580078125,16783.150390625,8.552390098571777,124.9489974975586,1.1016006469726562,-0.23929
2016-03-09,435.55999755859375,1989.260009765625,19996.259765625,16642.19921875,8.54325008392334,123.93900299072266,1.1004005670547485,-0.24214
2016-03-10,430.17999267578125,1989.5699462890625,19984.419921875,16852.349609375,8.531270027160645,124.42400360107422,1.0989010334014893,-0.24286
2016-03-11,441.75,2022.18994140625,20199.599609375,16938.869140625,8.675640106201172,126.14099884033203,1.1178430318832397,-0.23571
2016-03-14,444.0799865722656,2019.6400146484375,20435.33984375,17233.75,8.662890434265137,127.02899932861328,1.1167943477630615,-0.23929
2016-03-15,442.0,2015.9300537109375,20288.76953125,17117.0703125,8.61201000213623,126.3499984741211,1.1101982593536377,-0.24286
2016-03-16,443.8299865722656,2027.219970703125,20257.69921875,16974.44921875,8.61620044708252,125.62899780273438,1.1109012365341187,-0.24571
2016-03-17,444.05999755859375,2040.5899658203125,20503.810546875,16936.380859375,8.698800086975098,126.47100067138672,1.1218937635421753,-0.24786
2016-03-18,444.7900085449219,2049.580078125,20671.630859375,16724.810546875,8.77649974822998,125.98400115966797,1.1317979097366333,-0.24643
2016-03-21,443.8299865722656,2051.60009765625,20684.150390625,,8.743459701538086,125.66500091552734,1.1279042959213257,-0.24857
2016-03-22,443.1199951171875,2049.800048828125,20666.75,17048.55078125,8.710200309753418,125.98300170898438,1.1235954761505127,-0.24943
2016-03-23,443.3599853515625,2036.7099609375,20615.23046875,17000.98046875,8.69629955291748,125.94300079345703,1.122296690940857,-0.24943
2016-03-24,437.489990234375,2035.93994140625,20345.609375,16892.330078125,8.668299674987793,125.64800262451172,1.118105411529541,-0.24886
2016-03-25,,,,17002.75,8.663000106811523,125.97899627685547,1.1167943477630615,
2016-03-28,,2037.050048828125,,17134.369140625,8.65466022491455,126.56999969482422,1.1159967184066772,
2016-03-29,440.3699951171875,2055.010009765625,20366.30078125,17103.529296875,8.687849998474121,126.96299743652344,1.1202723979949951,-0.249
2016-03-30,446.239990234375,2063.949951171875,20803.390625,16878.9609375,8.750800132751465,127.20999908447266,1.12920343875885,-0.249
2016-03-31,440.1099853515625,2059.739990234375,20776.69921875,16758.669921875,8.788040161132812,127.3550033569336,1.1334655284881592,-0.249
2016-04-01,434.4800109863281,2072.780029296875,20498.919921875,16164.16015625,8.825599670410156,128.00999450683594,1.1379671096801758,-0.24971
2016-04-04,436.0799865722656,2066.1298828125,,16123.26953125,8.834309577941895,127.27999877929688,1.1390039920806885,-0.25114
2016-04-05,428.8500061035156,2045.1700439453125,20177.0,15732.8203125,8.826800346374512,126.68099975585938,1.1389002799987793,-0.25143
2016-04-06,431.010009765625,2066.659912109375,20206.669921875,15715.3603515625,8.827500343322754,125.62000274658203,1.138200283050537,-0.25143
2016-04-07,428.7300109863281,2041.9100341796875,20266.05078125,15749.83984375,8.843400001525879,125.0770034790039,1.1404979228973389,-0.25757
