permno,date,RET
85814,2004-11-30,0.245134
85814,2004-12-31,0.074744
85814,2005-01-31,0.054091
85814,2005-02-28,0.016386
85814,2005-03-31,-0.114552
85814,2005-04-29,-0.101581
85814,2005-05-31,0.042133
85814,2005-06-30,-0.009212
85814,2005-07-29,0.030475
85814,2005-08-31,-0.106767
85814,2005-09-30,0.052189
85814,2005-10-31,-0.053867
85814,2005-11-30,-0.386133
85814,2005-12-30,0.07438
85814,2006-01-31,0.123932
85814,2006-02-28,0.027376
85814,2006-03-31,-0.004441
85814,2006-04-28,-0.06171
85814,2006-05-31,0.164025
85814,2006-06-30,0.021103
85814,2006-07-31,-0.068
85814,2006-08-31,0.072961
85814,2006-09-29,-0.000667
85814,2006-10-31,-0.005337
85814,2006-11-30,0.083166
85814,2006-12-29,0.009907
85814,2007-01-31,0.060699
85814,2007-02-28,0.019075
85814,2007-03-30,-0.046512
85814,2007-04-30,0.035098
85814,2007-05-31,0.136782
85814,2007-06-29,0.186046
85814,2007-07-31,-0.009378
85814,2007-08-31,0.032702
85575,2000-01-31,0.0
85575,2000-02-29,0.086957
85575,2000-03-31,-0.2
85575,2000-04-28,-0.275
85575,2000-05-31,-0.137931
85575,2000-06-30,0.36
85575,2000-07-31,0.294118
85575,2000-08-31,0.363636
85575,2000-09-29,-0.3
85575,2000-10-31,-0.071429
85575,2000-11-30,-0.128205
85575,2000-12-29,-0.294118
85575,2001-01-31,0.333333
85575,2001-02-28,-0.125
85575,2001-03-30,-0.25
85575,2001-04-30,-0.253408
85575,2001-05-31,0.292517
85575,2001-06-29,-0.144737
85575,2001-07-31,-0.2
85575,2001-08-31,-0.55
85575,2001-09-28,0.367521
85575,2001-10-31,0.1875
85575,2001-11-30,-0.2
85575,2001-12-31,-0.013158
85575,2002-01-31,-0.006667
85575,2002-02-28,0.369127
85575,2002-03-28,-0.078431
85575,2002-04-30,0.744681
85575,2002-05-31,-0.371951
85575,2002-06-28,-0.252427
63781,2000-01-31,-0.02439
63781,2000-02-29,0.158333
63781,2000-03-31,0.266187
63781,2000-04-28,0.017045
63781,2000-05-31,0.178771
63781,2000-06-30,0.023697
63781,2000-07-31,-0.074074
63781,2000-08-31,0.25
63781,2000-09-29,-0.056
63781,2000-10-31,-0.097458
63781,2000-11-30,-0.046948
63781,2000-12-29,0.492611
63781,2001-01-31,-0.051617
63781,2001-02-28,0.016147
63781,2001-03-30,-0.093151
63781,2001-04-30,0.224169
63781,2001-05-31,0.067127
63781,2001-06-29,-0.266883
63781,2001-07-31,-0.168454
63781,2001-08-31,-0.30349
63781,2001-09-28,-0.03268
63781,2001-10-31,0.233108
63781,2001-11-30,0.115069
63781,2001-12-31,0.056511
63781,2002-01-31,-0.034884
63781,2002-02-28,0.121285
63781,2002-03-28,0.310172
63781,2002-04-30,0.06725
63781,2002-05-31,-0.044057
63781,2002-06-28,-0.070204
63781,2002-07-31,-0.095101
63781,2002-08-30,0.11465
63781,2002-09-30,0.094286
63781,2002-10-31,0.007833
63781,2002-11-29,-0.074611
63781,2002-12-31,0.038634
63781,2003-01-31,-0.037197
63781,2003-02-28,0.179171
63781,2003-03-31,-0.036562
63781,2003-04-30,-0.034007
63781,2003-05-30,0.122449
63781,2003-06-30,-0.049545
63781,2003-07-31,-0.064084
63781,2003-08-29,0.101686
63781,2003-09-30,-0.12616
63781,2003-10-31,0.029193
63781,2003-11-28,0.062403
63781,2003-12-31,0.143204
63781,2004-01-30,0.054352
63781,2004-02-27,0.070479
63781,2004-03-31,0.031603
63781,2004-04-30,0.03027
63781,2004-05-28,0.008496
63781,2004-06-30,0.103896
63781,2004-07-30,0.025437
63781,2004-08-31,-0.026357
63781,2004-09-30,0.117198
63781,2004-10-29,0.057298
63781,2004-11-30,0.068212
63781,2004-12-31,-0.035588
63781,2005-01-31,-0.043706
63781,2005-02-28,0.252874
63781,2005-03-31,-0.013325
63781,2005-04-29,-0.150764
63781,2005-05-31,0.017205
63781,2005-06-30,0.127883
63781,2005-07-29,0.0793
63781,2005-08-31,0.096
63781,2005-09-30,0.061852
63781,2005-10-31,-0.052098
63781,2005-11-30,0.033588
63781,2005-12-30,0.016063
63781,2006-01-31,0.084863
